_id,中标时间,项目名称,中标金额(万元),中标公司,城市,中标年份,中标月份
6523fe14e56a2f842023c052,2022-06-07,青云桥桥下空间环境提升改造项目,246.0,福建省万鑫绿化工程有限公司,天津,2022,6
6523fe14e56a2f842023c053,2022-06-06,2022年美国白蛾防治专项项目第1包,19.0,天津市园林工程集团有限公司,天津,2022,6
6523fe14e56a2f842023c054,2022-06-06,2022年美国白蛾防治专项项目第2包,39.0,天津市园林工程集团有限公司,天津,2022,6
6523fe14e56a2f842023c055,2022-06-06,2022年美国白蛾防治专项项目第3包,79.0,北京泽瑞恒病虫害防治技术有限公司,天津,2022,6
6523fe16e56a2f842023c057,2022-05-31,丰台区2022年林长制综合管理项目,107.0,北京欣风景生态园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c058,2022-05-31,凤河滨河公园管护项目,253.0,北京鼎新市政园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c059,2022-05-30,黑庄户乡2012-2013平原造林绿化养护项目,286.0,北京黑庄户园林绿化服务中心,北京,2022,5
6523fe16e56a2f842023c05a,2022-05-30,黑庄户乡四合庄郊野公园绿化养护项目,397.0,北京黑庄户园林绿化服务中心,北京,2022,5
6523fe16e56a2f842023c05b,2022-05-30,河道日常养护保障经费一标段,479.0,北京市首发天人生态景观有限公司,北京,2022,5
6523fe16e56a2f842023c05c,2022-05-30,河道日常养护保障经费二标段,461.0,北京顺鑫绿洲锦绣园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c05d,2022-05-30,河道日常养护保障经费三标段,484.0,北京昊沂市政园林工程有限责任公司,北京,2022,5
6523fe16e56a2f842023c05e,2022-05-30,河道日常养护保障经费四标段,315.0,北京花乡花木集团有限公司,北京,2022,5
6523fe16e56a2f842023c05f,2022-05-30,2022年战略留白临时绿化花乡街道采购项目2022年战略留白临时绿化花乡街道采购项目,290.0,北京花乡花木集团有限公司,北京,2022,5
6523fe16e56a2f842023c060,2022-05-30,北宫国家森林公园山体滑坡修复项目,140.0,北京丰泽御景园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c061,2022-05-27,北京市通州区永乐店镇美丽乡村“补短板”、“一事一议”项目（邓庄村等5个村）,994.0,北京雷杰市政园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c062,2022-05-26,崔村镇西峪生态沟域及旅游基础设施提升项目（一标段）,1625.0,北京安海之弋园林古建工程有限公司,北京,2022,5
6523fe16e56a2f842023c063,2022-05-26,崔村镇西峪生态沟域及旅游基础设施提升项目（二标段）,1362.0,北京绿佳杰园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c064,2022-05-26,崔村镇西峪生态沟域及旅游基础设施提升项目（三标段）,1085.0,北京市园林设计工程有限公司,北京,2022,5
6523fe16e56a2f842023c065,2022-05-25,北京市植物园花卉环境布置-室内花展（第一标段）（第二次）,45.0,北京天海福园园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c066,2022-05-25,海淀公园地铁16号线临时占地绿化恢复工程项目,338.0,北京市新海园林工程有限公司,北京,2022,5
6523fe16e56a2f842023c067,2022-05-24,2022年翠湖湿地公园基础设施修缮工程,148.0,北京景然园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c068,2022-05-23,延庆区永宁镇2022年平原重点区域造林绿化工程（一标段）,2986.0,北京三木瀛海园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c069,2022-05-23,延庆区永宁镇2022年平原重点区域造林绿化工程（二标段）,2807.0,北京花乡花木集团有限公司,北京,2022,5
6523fe16e56a2f842023c06a,2022-05-23,延庆区永宁镇2022年平原重点区域造林绿化工程（三标段）,2476.0,北京润安园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c06b,2022-05-23,北京经济技术开发区河西区X92R2地块R2二类居住用地开发工程园林工程,1762.0,北京亦庄新城园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c06c,2022-05-23,新永丰产业基地一级开发组团J地块代征绿地（一期）绿化建设工程（施工）,1396.0,北京金都园林绿化有限责任公司,北京,2022,5
6523fe16e56a2f842023c06d,2022-05-23,西北旺镇X2地块集体产业用地东侧代征绿地绿化建设工程,1868.0,北京金都园林绿化有限责任公司,北京,2022,5
6523fe16e56a2f842023c06e,2022-05-23,北京市密云水库周边国土绿化试点示范项目（设计）,708.0,北京景观园林设计有限公司,北京,2022,5
6523fe16e56a2f842023c06f,2022-05-23,中关村延庆园生态园区提升项目（绿化）,553.0,北京市首发天人生态景观有限公司,北京,2022,5
6523fe16e56a2f842023c070,2022-05-23,北京市延庆区园林绿化局延庆区2022年林业有害生物防控工程,223.0,北京夏都园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c071,2022-05-23,2022年度杜仲公园二期绿化养护管理,135.0,北京如景生态园林绿化有限公司,北京,2022,5
6523fe16e56a2f842023c072,2022-05-20,丰台区2022年小微绿地建设工程二标段,1903.0,北京金都园林绿化有限责任公司,北京,2022,5
6523fe16e56a2f842023c073,2022-05-20,十八里店乡代征绿地项目（施工）,1116.0,北京朝园弘园林绿化有限责任公司,北京,2022,5
6523fe16e56a2f842023c074,2022-05-20,延庆区延庆镇2022年平原重点区域造林绿化工程,581.0,北京路桥海威园林绿化有限公司,北京,2022,5
